τεχνολογ	τεχνολογία, η	技术	technology	阴
σκοταδ	σκοτάδι, το	黑暗	darkness	中
σωζω	σώζω	拯救	to save	动
θεωρ	θεωρώ	认为	to consider	动
ενημερωσ	ενημέρωση, η	通知，资讯（ενημερώνω 告知）	information; briefing	阴
μηχανακ	μηχανάκι, το	小摩托车	scooter	中
παγκοσμ	παγκόσμιος, -α, -ο	全球的	global	形
τεστ	τεστ, το	测验	test	中
δημοσ	δημόσιος, -α, -ο	公共的	public	形
τακτικ	τακτικά	定期地	regularly	副
εθελοντ	εθελοντής, ο	志愿者	volunteer	阳
καδο	κάδος, ο	垃圾桶	bin	阳
καπνισμ	κάπνισμα, το	吸烟	smoking	中
προορ	προορισμός, ο	目的地	destination	阳
αξιζ	αξίζω	值得	to be worth	动
μελετα	μελετάω	研究，钻研	to study	动
αργησαν	αργώ	迟到；耽搁	to be late	动
οικολογικ	οικολογικός, -ή, -ό	生态的，环保的	ecological	形
γης	γη, η	地球；土地	earth; land	阴
συσκευασι	συσκευασία, η	包装	packaging	阴
πλαστικ	πλαστικός, -ή, -ό	塑料的	plastic	形
κοπο	κόπος, ο	力气（αξίζει τον κόπο 值得）	effort	阳
θερμοσιφων	θερμοσίφωνας, ο	热水器	water heater	阳
οικονομι	οικονομία, η	经济；节约	economy; saving	阴
οσον	όσον αφορά	至于，就…而言	as regards	
μπραβ	μπράβο	好样的，真棒	well done	
ταλεντ	ταλέντο, το	才能	talent	中
νησακ	νησάκι, το	小岛	islet	中
φταιν	φταίω	有错，怪（某人）	to be at fault	动
λυπη	λύπη, η	悲伤	sadness	阴
κουνουπ	κουνούπι, το	蚊子	mosquito	中
αποτελεσ	αποτέλεσμα, το	结果	result	中
στενοχωρι	στενοχωριέμαι	难过，发愁	to be upset	动
εξοικονομησ	εξοικονόμηση, η	节约	saving	阴
επομενω	επομένως	因此	therefore	副
αντεχ	αντέχω	忍受，撑得住	to stand; to endure	动
ανακυκλων	ανακυκλώνω	回收	to recycle	动
ανακυκλ	ανακύκλωση, η	回收利用	recycling	阴
οικολογ	οικολογία, η	生态	ecology	阴
μυριζ	μυρίζω	闻起来；闻	to smell	动
καρετ	καρέτα, η	蠵龟（地中海海龟）	loggerhead turtle	阴
συνεχ	συνεχής, -ής, -ές	持续的（Συνεχής Μέλλοντας 将来进行时）	continuous	形
