希腊语	英文	现中文	建议中文	类型	原因	ids
τέλεια	perfect	完美的	完美地；太好了！	词性	τέλεια 是副词/感叹词，不是形容词	a1-a:100007,a1-b:100963,A1:901140
δε(ν)	not	不是	不，没（有）	错义	δεν 是否定小词「不/没」，不是「不是」	a1-a:100016,a1-b:100740,A1:900245
χάρακας, ο	ruler	统治者	尺子	错义	ruler 取了「统治者」义，应为文具尺子	a1-a:100035,A1:901256,A2:951624
γράμμα, το	letter	信	字母；信	错义	γράμμα 在课本中主要指字母，只给「信」漏掉主义	a1-a:100036,a1-b:101021,a2:101486,A1:900228
λείπω	to be absent, to be missing	缺席，失踪	缺席，缺少	错义	失踪指人下落不明，λείπω 是不在场/缺少	a1-a:100038,a1-b:101193,a2:102364,A1:900651
γκάιντα, η	pipe, bagpipe	管子，风笛	风笛	错义	pipe 译成「管子」无关	a1-a:100055,A1:900214
ξύστρα, η	sharpener	磨刀器	卷笔刀	错义	ξύστρα 是削铅笔的卷笔刀，不是磨刀器	a1-a:100068,A1:900823
πέφτω	to fall	跌倒	掉下，落下，跌倒	错义	πέφτω 泛指掉落，只给「跌倒」太窄会误导	a1-a:100072,a1-b:100872,A1:900930,A2:951183
διαλυτικά, τα	umlaut	元音变音	分音符（¨）	错义	希腊语 διαλυτικά 是分音符，不是德语元音变音	a1-a:100091,A1:900274
χορός, ο	dancing	跳舞	舞蹈，跳舞	词性	χορός 是名词，只给动词「跳舞」易误导	a1-a:100110,a1-b:100965,a2:101963,A1:901275
όνομα, το	name	姓名	名字	错义	όνομα 是名字；姓另有 επώνυμο，「姓名」混淆	a1-a:100112,a1-b:101154,a2:101539,A1:900847
παντελόνι, το	trousers (a pair of )	裤子，长裤，pants)	裤子，长裤	截断	混入英文残片「pants)」且括号不配对	a1-a:100128,a1-b:100931,a2:102140,A1:900879
δυνατά	strongly	强烈地	大声地；用力地	错义	δυνατά 在课本中多为「大声地」，「强烈地」不对	a1-a:100131,a1-b:101188,A1:900296
εσύ, εσείς	you	你	你；你们，您	错义	εσείς 是「你们/您」，只写「你」不完整	a1-a:100155,a1-b:100762,a2:101551,A1:900371
όπως	like, as	喜欢，作为	像，如同	错义	like 取了「喜欢」义，όπως 是「像/如同」	a1-a:100158,a1-b:101121,A1:900848
μένω	to stay, to live	留下来，生活	住，留下	错义	μένω 是居住/停留，「生活」偏义	a1-a:100219,a1-b:100819,A1:900725
